Date,Open,High,Low,Close,Adj Close,Volume
2020-03-31,86.910004,87.459999,80.849998,82.260002,82.260002,249800
2020-04-01,88.190002,90.419998,83.870003,89.250000,89.250000,105200
2020-04-02,88.120003,89.580002,84.480003,84.589996,84.589996,43800
2020-04-03,83.870003,85.139999,79.779999,80.779999,80.779999,149100
2020-04-06,75.099998,76.650002,74.099998,75.300003,75.300003,144200
2020-04-07,72.790001,77.730003,72.790001,77.330002,77.330002,282800
2020-04-08,76.330002,77.839996,74.930000,75.650002,75.650002,125500
2020-04-09,75.169998,76.070000,73.879997,74.070000,74.070000,60300
2020-04-13,73.620003,75.580002,72.419998,72.419998,72.419998,54400
2020-04-14,68.370003,68.750000,65.989998,66.519997,66.519997,70500
2020-04-15,71.199997,73.779999,70.169998,72.320000,72.320000,119500
2020-04-16,72.639999,74.680000,72.010002,72.449997,72.449997,147500
2020-04-17,69.660004,72.010002,69.330002,69.589996,69.589996,127200
2020-04-20,73.419998,76.430000,71.580002,76.400002,76.400002,107000
2020-04-21,82.050003,86.070000,81.680000,82.489998,82.489998,362400
2020-04-22,79.839996,81.250000,78.169998,79.000000,79.000000,95500
2020-04-23,77.910004,80.070000,76.309998,78.510002,78.510002,649800
2020-04-24,77.250000,78.160004,74.190002,74.620003,74.620003,107800
2020-04-27,72.059998,72.180000,67.709999,68.750000,68.750000,225000
2020-04-28,66.360001,70.580002,66.029999,69.800003,69.800003,141400
2020-04-29,65.820000,66.070000,64.099998,65.660004,65.660004,169400
2020-04-30,66.949997,70.029999,66.949997,67.639999,67.639999,64700
2020-05-01,73.379997,75.169998,71.660004,73.209999,73.209999,184700
2020-05-04,75.980003,76.820000,71.879997,72.029999,72.029999,130600
2020-05-05,69.269997,69.550003,67.300003,69.110001,69.110001,144100
2020-05-06,67.889999,70.110001,67.459999,70.089996,70.089996,125300
2020-05-07,67.750000,67.970001,66.620003,67.400002,67.400002,77000
2020-05-08,65.150002,65.669998,62.610001,62.639999,62.639999,100300
2020-05-11,64.320000,64.419998,58.259998,58.750000,58.750000,90200
2020-05-12,56.580002,64.300003,56.250000,64.300003,64.300003,222500
2020-05-13,65.000000,73.690002,63.799999,70.879997,70.879997,794100
2020-05-14,74.370003,76.699997,67.419998,67.529999,67.529999,423100
2020-05-15,70.500000,71.589996,65.610001,65.699997,65.699997,305600
2020-05-19,61.689999,64.489998,60.419998,64.489998,64.489998,120800
2020-05-20,61.480000,62.820000,60.430000,60.509998,60.509998,110400
2020-05-21,60.619999,63.400002,59.799999,62.000000,62.000000,156600
2020-05-22,62.459999,63.299999,61.340000,61.439999,61.439999,94500
2020-05-25,61.000000,61.000000,59.599998,60.400002,60.400002,4800
2020-05-26,58.610001,61.040001,58.570000,60.900002,60.900002,68800
2020-05-27,59.209999,63.330002,58.970001,59.400002,59.400002,149200
2020-05-28,60.009998,62.299999,59.430000,61.750000,61.750000,177000
2020-05-29,62.080002,63.200001,59.610001,59.610001,59.610001,227400
2020-06-01,61.040001,61.240002,59.610001,59.939999,59.939999,40800
2020-06-02,59.490002,60.290001,58.169998,58.349998,58.349998,68900
2020-06-03,57.070000,57.360001,55.459999,55.720001,55.720001,59900
2020-06-04,55.990002,56.570000,53.680000,55.299999,55.299999,103300
2020-06-05,51.259998,52.900002,51.259998,52.250000,52.250000,65500
2020-06-08,52.130001,53.939999,52.060001,53.400002,53.400002,36600
2020-06-09,54.919998,56.470001,54.660000,56.070000,56.070000,74000
2020-06-10,56.349998,57.509998,53.680000,56.259998,56.259998,113600
2020-06-11,61.040001,76.000000,59.880001,73.389999,73.389999,426100
2020-06-12,67.160004,81.000000,67.160004,69.610001,69.610001,443800
2020-06-15,76.250000,82.180000,67.349998,68.000000,68.000000,192200
2020-06-16,63.500000,70.070000,63.049999,66.500000,66.500000,135100
2020-06-17,66.430000,68.250000,65.660004,66.400002,66.400002,63300
2020-06-18,67.559998,68.680000,65.500000,65.500000,65.500000,52500
2020-06-19,63.759998,68.500000,63.400002,66.519997,66.519997,45000
2020-06-22,66.860001,67.500000,63.080002,63.259998,63.259998,53700
2020-06-23,60.400002,62.500000,60.279999,61.980000,61.980000,34900
2020-06-24,64.459999,69.379997,62.619999,66.129997,66.129997,113000
2020-06-25,67.400002,68.550003,63.700001,63.700001,63.700001,72000
2020-06-26,63.900002,68.300003,63.840000,67.550003,67.550003,80100
2020-06-29,66.500000,68.279999,64.300003,64.300003,64.300003,31700
2020-06-30,64.669998,64.800003,60.560001,61.060001,61.060001,39600
2020-07-02,56.990002,58.500000,56.000000,58.119999,58.119999,70600
2020-07-03,58.849998,60.950001,58.310001,60.500000,60.500000,18500
2020-07-06,55.849998,58.779999,55.849998,58.259998,58.259998,62500
2020-07-07,58.720001,60.290001,57.169998,60.200001,60.200001,32900
2020-07-08,59.270000,60.799999,58.630001,58.660000,58.660000,70400
2020-07-09,58.709999,62.259998,58.380001,59.570000,59.570000,99500
2020-07-10,59.560001,61.200001,57.980000,58.049999,58.049999,50100
2020-07-13,57.389999,63.630001,57.250000,63.599998,63.599998,70800
2020-07-14,63.529999,64.500000,59.340000,59.340000,59.340000,69100
2020-07-15,58.040001,60.529999,58.000000,58.250000,58.250000,50900
2020-07-16,59.500000,59.639999,57.049999,57.299999,57.299999,49000
2020-07-17,56.740002,57.220001,55.169998,55.169998,55.169998,33900
2020-07-20,54.720001,54.720001,51.849998,52.680000,52.680000,53300
2020-07-21,51.310001,53.810001,50.799999,53.150002,53.150002,53400
2020-07-22,53.419998,54.200001,52.540001,52.599998,52.599998,37900
2020-07-23,52.099998,55.200001,51.849998,54.150002,54.150002,92400
2020-07-24,55.900002,56.639999,54.410000,54.459999,54.459999,71500
2020-07-27,53.779999,54.189999,52.810001,52.939999,52.939999,40500
2020-07-28,52.950001,53.189999,50.959999,52.500000,52.500000,71500
2020-07-29,51.750000,52.380001,51.349998,51.500000,51.500000,33800
2020-07-30,53.799999,56.380001,52.349998,52.750000,52.750000,109100
2020-07-31,51.169998,53.830002,51.169998,51.500000,51.500000,64000
2020-08-04,51.099998,51.099998,49.740002,49.880001,49.880001,75300
2020-08-05,49.009998,49.650002,48.680000,48.810001,48.810001,47100
2020-08-06,48.930000,49.299999,48.150002,48.380001,48.380001,49800
2020-08-07,48.740002,48.939999,47.450001,48.000000,48.000000,68100
2020-08-10,47.169998,47.619999,46.349998,46.540001,46.540001,38400
